# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: Nashville CARES
# Property: Cares360 Clinic
# ----------------------------------------
# 
# All Users
# Start date: 20251001
# End date: 20260630
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/,1184,42475,0.027875220718069454,9.904131842260153,0,0,0,0,0,0,0
/about,127,4471,0.028405278461194363,11.05681055692239,0,0,0,0,0,0,0
/about-m,100,4793,0.020863759649488837,8.43959941581473,0,0,0,0,0,0,0
/services,43,2001,0.02148925537231384,11.342828585707146,0,0,0,0,0,0,0
/index.php/about,9,197,0.04568527918781726,8.82741116751269,0,0,0,0,0,0,0
/insurance,6,1272,0.0047169811320754715,7.752358490566038,0,0,0,0,0,0,0
/services-m,4,1314,0.0030441400304414,6.827245053272451,0,0,0,0,0,0,0
/index.php/about-m,3,32,0.09375,11.6875,0,0,0,0,0,0,0
/index.php/services,2,108,0.018518518518518517,10.324074074074074,0,0,0,0,0,0,0
/insurance-m,2,1127,0.001774622892635315,4.173913043478261,0,0,0,0,0,0,0
/~lvzwzycm/about,2,108,0.018518518518518517,6.388888888888889,0,0,0,0,0,0,0
/component/content/category/2-uncategorised,1,34,0.029411764705882353,7.264705882352941,0,0,0,0,0,0,0
/privacy-policy,1,612,0.0016339869281045752,2.2859477124183005,0,0,0,0,0,0,0
/~lvzwzycm/index.php/about,1,63,0.015873015873015872,26.904761904761905,0,0,0,0,0,0,0
/?view=category&id=2,0,312,0,8.022435897435898,0,0,0,0,0,0,0
/component/content/article/1-product,0,24,0,3.625,0,0,0,0,0,0,0
/component/content/article/11-features,0,1,0,6,0,0,0,0,0,0,0
/component/content/article/16-privacy-policy,0,21,0,8,0,0,0,0,0,0,0
/component/content/category/2-site-pages,0,198,0,10.863636363636363,0,0,0,0,0,0,0
/index.php/component/content/article/1-product,0,1,0,2,0,0,0,0,0,0,0
/index.php/component/content/article/11-features,0,3,0,7.333333333333333,0,0,0,0,0,0,0
/index.php/component/content/article/16-privacy-policy?catid=2,0,3,0,3.6666666666666665,0,0,0,0,0,0,0
/index.php/component/content/category/2-uncategorised,0,2,0,8.5,0,0,0,0,0,0,0
/index.php/insurance,0,29,0,2.931034482758621,0,0,0,0,0,0,0
/index.php?view=article&id=1:product&catid=2,0,2,0,4,0,0,0,0,0,0,0
/~lvzwzycm/,0,14,0,4.857142857142858,0,0,0,0,0,0,0
/~lvzwzycm/component/content/article/1-product,0,3,0,5.666666666666667,0,0,0,0,0,0,0
/~lvzwzycm/component/content/article/1-product?catid=2,0,1,0,5,0,0,0,0,0,0,0
/~lvzwzycm/component/content/category/2-uncategorised,0,24,0,2.333333333333333,0,0,0,0,0,0,0
/~lvzwzycm/index.php/insurance,0,11,0,7.7272727272727275,0,0,0,0,0,0,0
/~lvzwzycm/index.php/insurance-m,0,1,0,6,0,0,0,0,0,0,0
/~lvzwzycm/index.php/services-m,0,2,0,8.5,0,0,0,0,0,0,0
/~lvzwzycm/insurance,0,48,0,7.854166666666667,0,0,0,0,0,0,0
/~lvzwzycm/services,0,20,0,6.45,0,0,0,0,0,0,0
